indicator,ISO Country code,Population (2018.0),Surface area (Km2) (2018.0),% of population in extreme poverty (latest year),% of population with access to electricity (2020.0),Happy planet index (2016.0),Happy planet index (2019),Human dev index (2017.0),Human dev index (2021),Unemployment (%) (2018.0),Unemployment (%) (2021.0),Economic Growth (2018.0),Economic Growth (2021 or latest)
Afghanistan,AFG,36000000.0,652230.0,0.0,97.6999969482422,20.2,29.4,0.498,0.478,8.5,13.2829999923706,1.18922812838034,-2.35
Albania,ALB,2900000.0,27398.0,0.0,100.0,36.8,51.0,0.785,0.796,16.3,11.8190002441406,4.01935968514439,8.54408325116881
Algeria,DZA,41000000.0,2381740.0,,99.8041305541992,33.3,46.5,0.754,0.745,11.2,12.7040004730225,1.10000000013866,3.84779349036314
Angola,AGO,30000000.0,1246700.0,11.9,46.8906097412109,-,-,0.581,0.586,6.6,8.52999973297119,-1.31631210213166,0.700000004941785
Argentina,ARG,44000000.0,2736690.0,0.3,100.0,35.2,50.0,0.825,0.842,6.6,10.9020004272461,-2.61739646282038,10.2637609278887
Armenia,ARM,3000000.0,28203.0,0.1,100.0,25.7,54.7,0.755,0.759,16.8,20.8969993591309,5.19999999965324,5.70000000010526
Australia,AUS,25000000.0,7682300.0,0.4,100.0,21.2,43.1,0.939,0.951,5.7,5.11199998855591,2.87097248021668,1.47516288330458
Austria,AUT,9000000.0,82445.0,0.5,100.0,30.5,46.8,0.908,0.916,6.1,6.30100011825562,2.50159511872086,4.48396920576444
Azerbaijan,AZE,10000000.0,82629.0,,100.0,-,48.0,0.757,0.745,5.1,6.58300018310547,1.49999999999999,5.60003727280338
Bahamas,BHS,400000.0,10010.0,,100.0,-,-,0.807,0.812,15.3,13.2390003204346,1.8310077944388,13.7197349437703
Bahrain,BHR,1300000.0,760.0,,100.0,-,33.6,0.846,0.875,1.3,1.87399995326996,2.11113047304872,2.22535124229128
Bangladesh,BGD,165000000.0,130170.0,,96.1999969482422,38.4,54.5,0.608,0.661,4.1,5.22900009155273,7.31941263014136,6.93867508910159
Barbados,BRB,300000.0,430.0,,100.0,-,-,0.8,0.79,11.4,10.4130001068115,-1.02713911569184,1.39999999999998
Belarus,BLR,10000000.0,202900.0,0.0,100.0,21.7,42.9,0.808,0.808,0.5,4.73600006103516,3.14919759374963,2.50674234799824
Belgium,BEL,11000000.0,30278.0,0.1,100.0,23.7,42.5,0.916,0.937,8.3,6.42000007629395,1.84389968611099,6.24472194643204
Belize,BLZ,400000.0,22806.0,,97.1133346557617,33.8,-,0.708,0.683,11.0,8.2189998626709,2.04470317665661,9.75316324414021
Benin,BEN,11000000.0,110622.0,4.8,41.4109573364258,13.4,41.4,0.515,0.525,1.0,1.57400000095367,6.69725946087986,6.60000101128134
Bhutan,BTN,800000.0,38394.0,,100.0,28.6,36.7,0.612,0.666,2.4,4.33199977874756,3.05512983672538,-10.08
Bolivia,BOL,11000000.0,1083301.0,0.9,97.5541229248047,23.3,45.0,0.693,0.692,3.7,8.50899982452393,4.22362365271844,6.10580420443311
Bosnia and Herzegovina,BIH,3900000.0,51187.0,,100.0,25.3,47.8,0.768,0.78,25.8,15.2150001525879,3.74007296814042,7.10223883204758
Botswana,BWA,2200000.0,566730.0,,71.994758605957,16.6,31.9,0.717,0.693,18.4,24.7220001220703,3.98039539042554,11.3641363677285
Brazil,BRA,209000000.0,8358140.0,0.7,100.0,34.3,54.6,0.759,0.754,11.5,14.4029998779297,1.78366676137003,4.61942162064217
Brunei,BRN,400000.0,5265.0,,100.0,-,-,0.853,0.829,2.0,7.64900016784668,0.0522377907767719,-1.60554514769878
Bulgaria,BGR,7000000.0,108489.0,0.3,99.6999969482422,20.4,40.1,0.813,0.795,8.0,5.42399978637695,2.68457613091411,4.17787358423621
Burkina Faso,BFA,19000000.0,273800.0,8.4,18.957239151001,17.9,41.5,0.423,0.449,3.0,4.75799989700317,6.60456906812341,6.90634167337785
Burundi,BDI,11000000.0,25680.0,,11.7355556488037,15.6,37.7,0.417,0.426,1.6,1.79200005531311,1.60993542127714,1.79529999810393
Cabo Verde,CPV,500000.0,4033.0,,94.1617431640625,-,-,0.654,0.662,10.5,,4.53116168434889,6.952448693837
Cambodia,KHM,16000000.0,176515.0,,86.4000015258789,25.6,48.0,0.582,0.593,0.3,15.4230003356934,7.469169206999,3.02638936277746
Cameroon,CMR,24000000.0,472710.0,,64.7213668823242,16.7,39.9,0.556,0.576,4.5,0.611999988555908,3.9555142403664,3.48659924051415
Canada,CAN,37000000.0,9093507.0,,100.0,23.9,40.2,0.926,0.936,7.1,3.86500000953674,2.77704055379553,4.56289386263273
Central African Republic,CAF,4900000.0,622984.0,,15.4650840759277,-,25.2,0.367,0.404,6.9,7.51000022888184,3.78944359275462,0.900000006878756
Chad,TCD,15000000.0,1259200.0,8.4,11.080117225647,12.8,30.4,0.404,0.394,5.8,1.88199996948242,2.37403780037786,-1.1999905246095
Chile,CHL,18000000.0,743812.0,0.4,100.0,31.7,45.6,0.843,0.855,6.6,9.12800025939941,3.99002947784489,11.6682247016219
China,CHN,1386000000.0,9326410.0,0.1,100.0,25.7,41.9,0.752,0.768,4.6,4.81699991226196,6.74977383247717,8.10979258077933
Colombia,COL,49000000.0,1038700.0,5.6,100.0,40.7,60.2,0.843,0.752,9.9,14.3360004425049,2.56432428277704,10.5632926952121
Comoros,COM,800000.0,2235.0,,86.7371368408203,23.1,42.4,0.752,0.558,20.0,9.44699954986572,3.64245114733686,2.34780356550492
Congo (Dem. Rep.),COD,81000000.0,2267048.0,,19.1000003814697,-,40.5,0.457,0.479,3.6,5.42600011825562,5.82112109989339,5.71220368071927
Congo (Rep.),COG,4500000.0,341500.0,,49.5171012878418,18.8,47.2,0.606,0.571,11.2,23.0109996795654,-4.80535155756866,-3.49999999972705
Costa Rica,CRI,4900000.0,51060.0,0.9,99.9000015258789,44.7,62.1,0.794,0.809,9.0,17.9540004730225,2.6159044043379,7.57956529907922
Cote d'Ivoire,CIV,24000000.0,318003.0,2.4,69.6791229248047,14.4,39.6,0.794,0.55,9.3,3.46799993515015,6.89028431967284,7.02150183600973
Croatia,HRV,4200000.0,55974.0,0.2,100.0,30.2,46.2,0.831,0.858,13.5,8.68299961090088,2.90000959900429,10.448872452853
Cuba,CUB,11000000.0,109820.0,,100.0,-,-,0.777,0.764,2.9,2.75600004196167,2.24848039303581,-10.95
Cyprus,CYP,800000.0,9241.0,0.2,100.0,30.7,49.4,0.869,0.896,11.7,6.13000011444092,5.69284172448825,5.51268536405595
Czech Republic,CZE,11000000.0,77247.0,0.0,100.0,27.3,46.8,0.888,0.889,4.0,2.88700008392334,3.19865610131447,3.34265300901824
Denmark,DNK,6000000.0,42434.0,0.2,100.0,32.7,45.3,0.929,0.948,6.1,4.7979998588562,1.98953731496432,4.69343301735276
Djibouti,DJI,1000000.0,23180.0,,61.7670822143555,16.4,-,0.476,0.509,6.6,28.3859996795654,4.7744168883374,4.30966144579628
Dominican Republic,DOM,11000000.0,48320.0,0.4,100.0,30.3,54.8,0.736,0.767,14.4,8.49600028991699,6.98252758458058,12.2719902266266
Ecuador,ECU,17000000.0,276841.0,2.1,98.8499984741211,37.0,58.8,0.752,0.74,5.4,6.42700004577637,1.28929193290502,4.23525124172572
Egypt,EGY,98000000.0,995450.0,,100.0,23.8,43.2,0.696,0.731,12.0,9.32900047302246,5.31412103746398,3.3267420905086
El Salvador,SLV,6000000.0,20721.0,0.3,100.0,35.6,56.3,0.674,0.675,6.3,5.94000005722046,2.43228758708827,10.8008685930512
Equatorial Guinea,GNQ,800000.0,28051.0,,66.7477264404297,-,-,0.591,0.596,7.3,9.24499988555908,-6.23655098228059,-0.945391900179573
Eritrea,ERI,5000000.0,101000.0,,52.1710968017578,-,-,0.44,0.492,7.3,8.04699993133545,,
Estonia,EST,1300000.0,42388.0,0.3,100.0,17.9,34.4,0.871,0.89,6.9,6.33099985122681,4.13381979831833,8.34945362012054
Eswatini,SWZ,1100000.0,17204.0,,79.7304992675781,15.5,35.3,0.588,0.597,25.3,25.7560005187988,2.38296442304164,7.42613228490497
Ethiopia,ETH,105000000.0,1000000.0,,51.0939826965332,26.7,41.7,0.463,0.498,5.7,3.69400000572205,6.81614779681703,5.63730300819225
